id,title,location,disaster_type,severity,narrative,source
1,Flood event 1,Metro City,Flood,Low,heavy rain flooded homes and roads in Metro City during the recent emergency.,Hugging Face dataset export
2,Earthquake event 2,North Valley,Earthquake,Medium,quake damage knocked down power lines and buildings in North Valley during the recent emergency.,Hugging Face dataset export
3,Fire event 3,Coastal Bay,Fire,High,firefighters fought an intense wildfire overnight in Coastal Bay during the recent emergency.,Hugging Face dataset export
4,Storm event 4,Ridge Town,Storm,Critical,storm surges threatened local harbors in Ridge Town during the recent emergency.,Hugging Face dataset export
5,Drought event 5,Central Plains,Drought,Low,low rainfall created severe drought warnings in Central Plains during the recent emergency.,Hugging Face dataset export
6,Landslide event 6,Hill District,Landslide,Medium,debris flow from landslide reached a nearby village in Hill District during the recent emergency.,Hugging Face dataset export
7,Flood event 7,West Delta,Flood,High,towering floodwaters reached the market area and shelter centers in West Delta during the recent emergency.,Hugging Face dataset export
8,Earthquake event 8,Riverbend,Earthquake,Critical,sudden seismic activity damaged homes and utilities in Riverbend during the recent emergency.,Hugging Face dataset export
9,Fire event 9,Harbor Point,Fire,Low,forest fire spread rapidly across dry hills in Harbor Point during the recent emergency.,Hugging Face dataset export
10,Storm event 10,Forest Edge,Storm,Medium,severe storm warnings were issued for coastal zones in Forest Edge during the recent emergency.,Hugging Face dataset export
11,Drought event 11,Metro City,Drought,High,water scarcity threatened communities during drought in Metro City during the recent emergency.,Hugging Face dataset export
12,Landslide event 12,North Valley,Landslide,Critical,slope failure buried a bridge and cut access in North Valley during the recent emergency.,Hugging Face dataset export
13,Flood event 13,Coastal Bay,Flood,Low,low-lying neighborhoods were inundated after a flood warning in Coastal Bay during the recent emergency.,Hugging Face dataset export
14,Earthquake event 14,Ridge Town,Earthquake,Medium,structural damage forced inspections across the region in Ridge Town during the recent emergency.,Hugging Face dataset export
15,Fire event 15,Central Plains,Fire,High,smoke from the wildfire spread across the town in Central Plains during the recent emergency.,Hugging Face dataset export
16,Storm event 16,Hill District,Storm,Critical,cyclonic winds knocked out public utilities in Hill District during the recent emergency.,Hugging Face dataset export
17,Drought event 17,West Delta,Drought,Low,drought conditions drained irrigation channels in West Delta during the recent emergency.,Hugging Face dataset export
18,Landslide event 18,Riverbend,Landslide,Medium,mudslide swept through a hillside community in Riverbend during the recent emergency.,Hugging Face dataset export
19,Flood event 19,Harbor Point,Flood,High,flash flooding closed schools and highways in Harbor Point during the recent emergency.,Hugging Face dataset export
20,Earthquake event 20,Forest Edge,Earthquake,Critical,aftershocks caused panic in city districts in Forest Edge during the recent emergency.,Hugging Face dataset export
21,Fire event 21,Metro City,Fire,Low,blaze spread through a warehouse district in Metro City during the recent emergency.,Hugging Face dataset export
22,Storm event 22,North Valley,Storm,Medium,strong winds caused widespread outages in the city in North Valley during the recent emergency.,Hugging Face dataset export
23,Drought event 23,Coastal Bay,Drought,High,drought conditions increased wildfire risk in Coastal Bay during the recent emergency.,Hugging Face dataset export
24,Landslide event 24,Ridge Town,Landslide,Critical,hillside collapse left families without shelter in Ridge Town during the recent emergency.,Hugging Face dataset export
25,Flood event 25,Central Plains,Flood,Low,heavy rain flooded homes and roads in Central Plains during the recent emergency.,Hugging Face dataset export
26,Earthquake event 26,Hill District,Earthquake,Medium,quake damage knocked down power lines and buildings in Hill District during the recent emergency.,Hugging Face dataset export
27,Fire event 27,West Delta,Fire,High,firefighters fought an intense wildfire overnight in West Delta during the recent emergency.,Hugging Face dataset export
28,Storm event 28,Riverbend,Storm,Critical,storm surges threatened local harbors in Riverbend during the recent emergency.,Hugging Face dataset export
29,Drought event 29,Harbor Point,Drought,Low,low rainfall created severe drought warnings in Harbor Point during the recent emergency.,Hugging Face dataset export
30,Landslide event 30,Forest Edge,Landslide,Medium,debris flow from landslide reached a nearby village in Forest Edge during the recent emergency.,Hugging Face dataset export
31,Flood event 31,Metro City,Flood,High,towering floodwaters reached the market area and shelter centers in Metro City during the recent emergency.,Hugging Face dataset export
